Rate_Ratio
" Pennsylvania Resident Deaths: Crude/Age-Specific Rates per 100,000"

CauseofDeaths,CountyState,Year,Sex,RaceEthnicity,Age,Obs_Count,Exp_Count,Population,TRateRatio,RateRatio,LowerBound,UpperBound,Significance,FIPSCode
Coronary heart disease,Pennsylvania,2022,Female,Asian/Pacific Islander,40 to 44,0,ND,"22,114",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Female,Asian/Pacific Islander,45 to 49,1,ND,"19,482",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Female,Multi-Race,35 to 39,0,ND,"7,708",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Female,Multi-Race,40 to 44,0,ND,"6,650",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Female,Multi-Race,45 to 49,0,ND,"5,439",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Female,Hispanic,35 to 39,1,ND,"39,579",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Female,Hispanic,40 to 44,4,ND,"37,726",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Female,Hispanic,45 to 49,4,ND,"31,639",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Adams,2022,Male,White,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Male,White,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Male,White,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Male,Black,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Male,Black,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Male,Black,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Male,Asian/Pacific Islander,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Male,Asian/Pacific Islander,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Male,Asian/Pacific Islander,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Male,Multi-Race,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Male,Multi-Race,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Male,Multi-Race,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Male,Hispanic,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Male,Hispanic,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Male,Hispanic,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,White,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,White,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,White,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,Black,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,Black,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,Black,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,Asian/Pacific Islander,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,Asian/Pacific Islander,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,Asian/Pacific Islander,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,Multi-Race,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,Multi-Race,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,Multi-Race,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,Hispanic,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,Hispanic,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Adams,2022,Female,Hispanic,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Coronary heart disease,Allegheny,2022,Male,White,35 to 39,3,4,"36,566",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Male,White,40 to 44,5,8,"31,161",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Male,White,45 to 49,7,11,"26,355",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Male,Black,35 to 39,1,1,"4,879",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Male,Black,40 to 44,1,2,"4,021",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Male,Black,45 to 49,3,3,"3,506",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Male,Asian/Pacific Islander,35 to 39,0,0,"3,163",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Male,Asian/Pacific Islander,40 to 44,0,0,"2,576",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Male,Asian/Pacific Islander,45 to 49,1,0,"1,905",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Male,Multi-Race,35 to 39,0,0,765,Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Male,Multi-Race,40 to 44,1,0,617,Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Male,Multi-Race,45 to 49,0,0,470,Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Male,Hispanic,35 to 39,0,0,"1,665",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Male,Hispanic,40 to 44,0,0,"1,210",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Male,Hispanic,45 to 49,1,0,845,Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,White,35 to 39,0,2,"33,643",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,White,40 to 44,3,3,"29,204",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,White,45 to 49,3,6,"25,114",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,Black,35 to 39,0,1,"5,612",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,Black,40 to 44,2,2,"4,918",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,Black,45 to 49,3,2,"4,497",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,Asian/Pacific Islander,35 to 39,0,0,"2,663",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,Asian/Pacific Islander,40 to 44,0,0,"2,192",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,Asian/Pacific Islander,45 to 49,0,0,"1,941",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,Multi-Race,35 to 39,0,0,853,Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,Multi-Race,40 to 44,0,0,697,Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,Multi-Race,45 to 49,0,0,478,Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,Hispanic,35 to 39,0,0,"1,244",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,Hispanic,40 to 44,0,0,"1,100",Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Allegheny,2022,Female,Hispanic,45 to 49,0,0,835,Crude/Age-Specific Rate,ND,ND,ND,,003
Coronary heart disease,Armstrong,2022,Male,White,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Male,White,40 to 44,2,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Male,White,45 to 49,1,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Male,Black,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Male,Black,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Male,Black,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Male,Asian/Pacific Islander,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Male,Asian/Pacific Islander,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Male,Asian/Pacific Islander,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Male,Multi-Race,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Male,Multi-Race,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Male,Multi-Race,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Male,Hispanic,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Male,Hispanic,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Male,Hispanic,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,White,35 to 39,1,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,White,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,White,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,Black,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,Black,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,Black,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,Asian/Pacific Islander,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,Asian/Pacific Islander,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,Asian/Pacific Islander,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,Multi-Race,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,Multi-Race,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,Multi-Race,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,Hispanic,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,Hispanic,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Armstrong,2022,Female,Hispanic,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,005
Coronary heart disease,Beaver,2022,Male,White,35 to 39,2,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Male,White,40 to 44,1,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Male,White,45 to 49,5,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Male,Black,35 to 39,1,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Male,Black,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Male,Black,45 to 49,1,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Male,Asian/Pacific Islander,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Male,Asian/Pacific Islander,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Male,Asian/Pacific Islander,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Male,Multi-Race,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Male,Multi-Race,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Male,Multi-Race,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Male,Hispanic,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Male,Hispanic,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Male,Hispanic,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,White,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,White,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,White,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,Black,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,Black,40 to 44,1,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,Black,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,Asian/Pacific Islander,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,Asian/Pacific Islander,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,Asian/Pacific Islander,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,Multi-Race,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,Multi-Race,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,Multi-Race,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,Hispanic,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,Hispanic,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Beaver,2022,Female,Hispanic,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,007
Coronary heart disease,Bedford,2022,Male,White,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Male,White,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Male,White,45 to 49,1,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Male,Black,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Male,Black,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Male,Black,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Male,Asian/Pacific Islander,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Male,Asian/Pacific Islander,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Male,Asian/Pacific Islander,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Male,Multi-Race,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Male,Multi-Race,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Male,Multi-Race,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Male,Hispanic,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Male,Hispanic,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Male,Hispanic,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,White,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,White,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,White,45 to 49,3,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,Black,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,Black,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,Black,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,Asian/Pacific Islander,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,Asian/Pacific Islander,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,Asian/Pacific Islander,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,Multi-Race,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,Multi-Race,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,Multi-Race,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,Hispanic,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,Hispanic,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Bedford,2022,Female,Hispanic,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,009
Coronary heart disease,Berks,2022,Male,White,35 to 39,1,1,"11,348",Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Male,White,40 to 44,1,3,"11,033",Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Male,White,45 to 49,2,4,"10,553",Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Male,Black,35 to 39,1,0,"1,225",Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Male,Black,40 to 44,1,1,"1,116",Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Male,Black,45 to 49,0,1,962,Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Male,Asian/Pacific Islander,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Male,Asian/Pacific Islander,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Male,Asian/Pacific Islander,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Male,Multi-Race,35 to 39,0,0,409,Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Male,Multi-Race,40 to 44,0,0,383,Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Male,Multi-Race,45 to 49,0,0,277,Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Male,Hispanic,35 to 39,0,0,"3,617",Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Male,Hispanic,40 to 44,1,0,"3,337",Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Male,Hispanic,45 to 49,0,2,"2,999",Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Female,White,35 to 39,1,1,"11,231",Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Female,White,40 to 44,1,1,"11,043",Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Female,White,45 to 49,1,2,"10,561",Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Female,Black,35 to 39,0,0,"1,102",Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Female,Black,40 to 44,0,0,"1,069",Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Female,Black,45 to 49,0,0,869,Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Female,Asian/Pacific Islander,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Female,Asian/Pacific Islander,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Female,Asian/Pacific Islander,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,011
Coronary heart disease,Berks,2022,Female,Multi-Race,35 to 39,0,0,398,Crude/Age-Specific Rate,ND,ND,ND,,011
