Rate_Ratio
" Pennsylvania Resident Deaths: Crude/Age-Specific Rates per 100,000"

CauseofDeaths,CountyState,Year,Sex,RaceEthnicity,Age,Obs_Count,Exp_Count,Population,TRateRatio,RateRatio,LowerBound,UpperBound,Significance,FIPSCode
Suicide (intentional self-harm),Pennsylvania,2022,Male,Asian/Pacific Islander,50 to 54,3,ND,"16,541",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Asian/Pacific Islander,55 to 59,1,ND,"13,408",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Asian/Pacific Islander,60 to 64,1,ND,"11,391",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Multi-Race,25 to 29,3,ND,"12,024",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Multi-Race,30 to 34,1,ND,"9,735",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Multi-Race,35 to 39,1,ND,"7,080",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Multi-Race,40 to 44,0,ND,"6,111",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Multi-Race,45 to 49,1,ND,"4,852",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Multi-Race,50 to 54,1,ND,"4,507",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Multi-Race,55 to 59,0,ND,"3,732",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Multi-Race,60 to 64,0,ND,"3,125",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Hispanic,25 to 29,7,ND,"44,972",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Hispanic,30 to 34,14,ND,"46,951",Crude/Age-Specific Rate,29.8,14.2,45.4,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Hispanic,35 to 39,8,ND,"43,504",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Hispanic,40 to 44,2,ND,"39,321",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Hispanic,45 to 49,1,ND,"32,887",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Hispanic,50 to 54,6,ND,"27,846",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Hispanic,55 to 59,2,ND,"23,257",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Hispanic,60 to 64,2,ND,"18,249",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,White,25 to 29,13,ND,"299,528",Crude/Age-Specific Rate,4.3,2.0,6.7,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,White,30 to 34,26,ND,"327,020",Crude/Age-Specific Rate,8.0,4.9,11.0,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,White,35 to 39,18,ND,"322,120",Crude/Age-Specific Rate,5.6,3.0,8.2,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,White,40 to 44,28,ND,"308,342",Crude/Age-Specific Rate,9.1,5.7,12.4,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,White,45 to 49,30,ND,"288,144",Crude/Age-Specific Rate,10.4,6.7,14.1,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,White,50 to 54,33,ND,"334,831",Crude/Age-Specific Rate,9.9,6.5,13.2,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,White,55 to 59,35,ND,"368,670",Crude/Age-Specific Rate,9.5,6.3,12.6,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,White,60 to 64,42,ND,"396,939",Crude/Age-Specific Rate,10.6,7.4,13.8,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Black,25 to 29,2,ND,"59,649",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Black,30 to 34,4,ND,"65,616",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Black,35 to 39,5,ND,"53,756",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Black,40 to 44,1,ND,"50,156",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Black,45 to 49,2,ND,"43,956",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Black,50 to 54,3,ND,"47,255",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Black,55 to 59,2,ND,"47,488",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Black,60 to 64,0,ND,"45,992",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Asian/Pacific Islander,25 to 29,1,ND,"20,365",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Asian/Pacific Islander,30 to 34,2,ND,"24,388",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Asian/Pacific Islander,35 to 39,0,ND,"24,394",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Asian/Pacific Islander,40 to 44,0,ND,"22,114",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Asian/Pacific Islander,45 to 49,1,ND,"19,482",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Asian/Pacific Islander,50 to 54,0,ND,"17,729",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Asian/Pacific Islander,55 to 59,0,ND,"14,928",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Asian/Pacific Islander,60 to 64,1,ND,"12,509",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Multi-Race,25 to 29,0,ND,"12,081",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Multi-Race,30 to 34,3,ND,"10,131",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Multi-Race,35 to 39,0,ND,"7,708",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Multi-Race,40 to 44,0,ND,"6,650",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Multi-Race,45 to 49,0,ND,"5,439",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Multi-Race,50 to 54,0,ND,"4,857",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Multi-Race,55 to 59,0,ND,"4,158",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Multi-Race,60 to 64,0,ND,"3,581",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Hispanic,25 to 29,5,ND,"41,847",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Hispanic,30 to 34,4,ND,"41,735",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Hispanic,35 to 39,0,ND,"39,579",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Hispanic,40 to 44,1,ND,"37,726",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Hispanic,45 to 49,0,ND,"31,639",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Hispanic,50 to 54,0,ND,"27,860",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Hispanic,55 to 59,1,ND,"24,201",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Female,Hispanic,60 to 64,1,ND,"18,686",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Adams,2022,Male,White,25 to 29,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,White,30 to 34,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,White,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,White,40 to 44,1,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,White,45 to 49,3,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,White,50 to 54,2,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,White,55 to 59,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,White,60 to 64,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Black,25 to 29,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Black,30 to 34,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Black,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Black,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Black,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Black,50 to 54,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Black,55 to 59,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Black,60 to 64,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Asian/Pacific Islander,25 to 29,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Asian/Pacific Islander,30 to 34,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Asian/Pacific Islander,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Asian/Pacific Islander,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Asian/Pacific Islander,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Asian/Pacific Islander,50 to 54,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Asian/Pacific Islander,55 to 59,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Asian/Pacific Islander,60 to 64,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Multi-Race,25 to 29,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Multi-Race,30 to 34,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Multi-Race,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Multi-Race,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Multi-Race,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Multi-Race,50 to 54,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Multi-Race,55 to 59,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Multi-Race,60 to 64,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Hispanic,25 to 29,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Hispanic,30 to 34,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Hispanic,35 to 39,1,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Hispanic,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Hispanic,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Hispanic,50 to 54,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Hispanic,55 to 59,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Male,Hispanic,60 to 64,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,White,25 to 29,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,White,30 to 34,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,White,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,White,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,White,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,White,50 to 54,1,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,White,55 to 59,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,White,60 to 64,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Black,25 to 29,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Black,30 to 34,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Black,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Black,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Black,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Black,50 to 54,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Black,55 to 59,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Black,60 to 64,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Asian/Pacific Islander,25 to 29,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Asian/Pacific Islander,30 to 34,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Asian/Pacific Islander,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Asian/Pacific Islander,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Asian/Pacific Islander,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Asian/Pacific Islander,50 to 54,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Asian/Pacific Islander,55 to 59,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Asian/Pacific Islander,60 to 64,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Multi-Race,25 to 29,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Multi-Race,30 to 34,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Multi-Race,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Multi-Race,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Multi-Race,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Multi-Race,50 to 54,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Multi-Race,55 to 59,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Multi-Race,60 to 64,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Hispanic,25 to 29,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Hispanic,30 to 34,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Hispanic,35 to 39,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Hispanic,40 to 44,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Hispanic,45 to 49,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Hispanic,50 to 54,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Hispanic,55 to 59,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Adams,2022,Female,Hispanic,60 to 64,0,ND,ND,Crude/Age-Specific Rate,ND,ND,ND,,001
Suicide (intentional self-harm),Allegheny,2022,Male,White,25 to 29,4,9,"33,089",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,White,30 to 34,3,12,"37,205",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,White,35 to 39,7,12,"36,566",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,White,40 to 44,10,10,"31,161",Crude/Age-Specific Rate,32.1,12.2,52.0,,003
Suicide (intentional self-harm),Allegheny,2022,Male,White,45 to 49,10,9,"26,355",Crude/Age-Specific Rate,37.9,14.4,61.5,,003
Suicide (intentional self-harm),Allegheny,2022,Male,White,50 to 54,7,10,"29,875",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,White,55 to 59,7,11,"31,921",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,White,60 to 64,7,12,"36,070",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Black,25 to 29,2,2,"6,581",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Black,30 to 34,2,2,"6,563",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Black,35 to 39,0,1,"4,879",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Black,40 to 44,0,1,"4,021",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Black,45 to 49,0,1,"3,506",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Black,50 to 54,1,0,"4,063",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Black,55 to 59,0,0,"3,900",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Black,60 to 64,0,1,"4,126",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Asian/Pacific Islander,25 to 29,2,1,"2,587",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Asian/Pacific Islander,30 to 34,0,0,"3,199",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Asian/Pacific Islander,35 to 39,0,0,"3,163",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Asian/Pacific Islander,40 to 44,0,0,"2,576",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Asian/Pacific Islander,45 to 49,0,0,"1,905",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Asian/Pacific Islander,50 to 54,0,0,"1,519",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Asian/Pacific Islander,55 to 59,0,0,"1,051",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Asian/Pacific Islander,60 to 64,0,0,795,Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Multi-Race,25 to 29,0,0,"1,387",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Multi-Race,30 to 34,0,0,"1,170",Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Multi-Race,35 to 39,0,0,765,Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Multi-Race,40 to 44,0,0,617,Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Multi-Race,45 to 49,0,0,470,Crude/Age-Specific Rate,ND,ND,ND,,003
Suicide (intentional self-harm),Allegheny,2022,Male,Multi-Race,50 to 54,0,0,385,Crude/Age-Specific Rate,ND,ND,ND,,003
